unit_id	org_document_id	org_sentence_id	token_order	token	label_id	label	code	b_pos	i_pos	count	pos
589552	1	0	1	Serikat	1	Subjek	A0	4	0	4	B
589553	1	0	2	Pekerja	1	Subjek	A0	1	4	5	I
589554	1	0	3	Newmont	1	Subjek	A0	0	5	5	I
589555	1	0	4	Rencana	5	Predikat	T	3	0	3	B
589555	1	0	4	Rencana	6	Lainnya	OTHER	1	2	3	I
589556	1	0	5	Aksi	6	Lainnya	OTHER	2	2	4	I
589557	1	0	6	30	6	Lainnya	OTHER	0	3	3	I
589558	1	0	7	Hari	6	Lainnya	OTHER	0	3	3	I
589559	1	0	8	,	6	Lainnya	OTHER	4	3	7	B
589560	1	0	9	Berhenti	6	Lainnya	OTHER	0	6	6	I
589561	1	0	10	Hari	6	Lainnya	OTHER	0	6	6	I
589562	1	0	11	Ke	6	Lainnya	OTHER	0	6	6	I
589563	1	0	12	-	6	Lainnya	OTHER	0	6	6	I
589564	1	0	13	3	6	Lainnya	OTHER	0	6	6	I
589565	1	0	14	.	6	Lainnya	OTHER	1	6	7	I
589566	1	2	1	Bisnis.com	6	Lainnya	OTHER	7	0	7	B
589567	1	2	2	,	6	Lainnya	OTHER	0	7	7	I
589568	1	2	3	MATARAM	6	Lainnya	OTHER	0	6	6	I
589569	1	2	4	-	6	Lainnya	OTHER	1	6	7	I
589570	1	2	5	Serikat	1	Subjek	A0	5	0	5	B
589571	1	2	6	pekerja	1	Subjek	A0	0	6	6	I
589572	1	2	7	PT	1	Subjek	A0	0	6	6	I
589573	1	2	8	Newmont	1	Subjek	A0	0	6	6	I
589574	1	2	9	Nusa	1	Subjek	A0	0	6	6	I
589575	1	2	10	Tenggara	1	Subjek	A0	0	6	6	I
589576	1	2	11	yang	6	Lainnya	OTHER	3	1	4	B
589577	1	2	12	mewakili	1	Subjek	A0	0	3	3	I
589578	1	2	13	karyawan	1	Subjek	A0	0	3	3	I
589579	1	2	14	dalam	6	Lainnya	OTHER	2	1	3	B
589579	1	2	14	dalam	1	Subjek	A0	0	3	3	I
589580	1	2	15	perundingan	1	Subjek	A0	0	3	3	I
589581	1	2	16	perjanjian	1	Subjek	A0	0	3	3	I
589582	1	2	17	kerja	1	Subjek	A0	0	3	3	I
589583	1	2	18	bersama	1	Subjek	A0	0	3	3	I
589584	1	2	19	2015	1	Subjek	A0	0	3	3	I
589585	1	2	20	-	6	Lainnya	OTHER	3	1	4	B
589586	1	2	21	2016	1	Subjek	A0	1	2	3	I
589587	1	2	22	,	6	Lainnya	OTHER	6	1	7	B
589588	1	2	23	menghentikan	5	Predikat	T	7	0	7	B
589589	1	2	24	aksi	2	Objek	A1	5	0	5	B
589590	1	2	25	mogok	2	Objek	A1	1	5	6	I
589591	1	2	26	kerja	2	Objek	A1	0	6	6	I
589592	1	2	27	yang	6	Lainnya	OTHER	6	0	6	B
589593	1	2	28	dilaksanakan	6	Lainnya	OTHER	0	4	4	I
589594	1	2	29	sejak	6	Lainnya	OTHER	0	3	3	I
589594	1	2	29	sejak	4	Waktu	AM-TMP	3	0	3	B
589595	1	2	30	1	4	Waktu	AM-TMP	2	3	5	I
589596	1	2	31	Mei	4	Waktu	AM-TMP	0	5	5	I
589597	1	2	32	.	6	Lainnya	OTHER	6	1	7	B
589598	1	3	1	Sedianyan	6	Lainnya	OTHER	7	0	7	B
589599	1	3	2	aksi	1	Subjek	A0	2	1	3	B
589600	1	3	3	mogok	1	Subjek	A0	0	3	3	I
589601	1	3	4	kerja	1	Subjek	A0	0	3	3	I
589602	1	3	5	sebagai	6	Lainnya	OTHER	4	1	5	B
589603	1	3	6	imbas	6	Lainnya	OTHER	0	5	5	I
589604	1	3	7	gagalnya	1	Subjek	A0	1	2	3	I
589604	1	3	7	gagalnya	6	Lainnya	OTHER	0	3	3	I
589605	1	3	8	perundingan	1	Subjek	A0	0	3	3	I
589606	1	3	9	lanjutan	1	Subjek	A0	0	3	3	I
589606	1	3	9	lanjutan	6	Lainnya	OTHER	1	2	3	I
589607	1	3	10	PKB	6	Lainnya	OTHER	0	3	3	I
589608	1	3	11	2015	6	Lainnya	OTHER	1	3	4	I
589609	1	3	12	-	6	Lainnya	OTHER	0	4	4	I
589610	1	3	13	2016	6	Lainnya	OTHER	0	4	4	I
589611	1	3	14	itu	6	Lainnya	OTHER	2	4	6	I
589612	1	3	15	akan	6	Lainnya	OTHER	0	6	6	I
589613	1	3	16	dilaksanakan	5	Predikat	T	5	1	6	B
589614	1	3	17	selama	6	Lainnya	OTHER	3	1	4	B
589614	1	3	17	selama	4	Waktu	AM-TMP	4	0	4	B
589615	1	3	18	30	4	Waktu	AM-TMP	2	4	6	I
589616	1	3	19	hari	4	Waktu	AM-TMP	0	5	5	I
589617	1	3	20	.	6	Lainnya	OTHER	5	3	8	B
589618	1	4	1	Tetapi	6	Lainnya	OTHER	9	0	9	B
589619	1	4	2	serikat	1	Subjek	A0	7	0	7	B
589620	1	4	3	menghentikan	5	Predikat	T	9	0	9	B
589621	1	4	4	aksi	2	Objek	A1	5	0	5	B
589622	1	4	5	pada	6	Lainnya	OTHER	3	3	6	I
589623	1	4	6	hari	4	Waktu	AM-TMP	3	3	6	I
589624	1	4	7	ketiga	4	Waktu	AM-TMP	1	6	7	I
589625	1	4	8	(	6	Lainnya	OTHER	6	3	9	B
589626	1	4	9	Minggu	4	Waktu	AM-TMP	7	0	7	B
589627	1	4	10	,	6	Lainnya	OTHER	6	2	8	B
589628	1	4	11	3/5	4	Waktu	AM-TMP	6	0	6	B
589629	1	4	12	)	6	Lainnya	OTHER	6	3	9	B
589630	1	4	13	setelah	6	Lainnya	OTHER	0	8	8	I
589631	1	4	14	serikat	6	Lainnya	OTHER	0	6	6	I
589632	1	4	15	bertemu	6	Lainnya	OTHER	0	5	5	I
589633	1	4	16	dengan	6	Lainnya	OTHER	3	5	8	I
589634	1	4	17	manajemen	6	Lainnya	OTHER	0	5	5	I
589635	1	4	18	perusahaan	6	Lainnya	OTHER	1	5	6	I
589636	1	4	19	.	6	Lainnya	OTHER	3	6	9	I
589637	1	5	1	Ketua	1	Subjek	A0	5	0	5	B
589638	1	5	2	PUK	1	Subjek	A0	0	5	5	I
589639	1	5	3	SP	1	Subjek	A0	0	5	5	I
589640	1	5	4	KEP	1	Subjek	A0	0	5	5	I
589641	1	5	5	Serikat	1	Subjek	A0	0	5	5	I
589642	1	5	6	Pekerja	1	Subjek	A0	0	5	5	I
589643	1	5	7	Seluruh	1	Subjek	A0	0	5	5	I
589644	1	5	8	Indonesia	1	Subjek	A0	0	5	5	I
589645	1	5	9	(	6	Lainnya	OTHER	5	2	7	B
589646	1	5	10	SPSI	1	Subjek	A0	5	0	5	B
589647	1	5	11	)	6	Lainnya	OTHER	5	2	7	B
589648	1	5	12	Newmont	1	Subjek	A0	6	0	6	B
589649	1	5	13	Zainuddin	1	Subjek	A0	0	6	6	I
589650	1	5	14	Wanden	1	Subjek	A0	0	6	6	I
589651	1	5	15	mengatakan	5	Predikat	T	4	0	4	B
589652	1	5	16	penghentian	2	Objek	A1	4	0	4	B
589653	1	5	17	aksi	2	Objek	A1	0	4	4	I
589654	1	5	18	mogok	2	Objek	A1	0	4	4	I
589655	1	5	19	kerja	2	Objek	A1	0	4	4	I
589656	1	5	20	itu	6	Lainnya	OTHER	3	1	4	B
589657	1	5	21	karena	6	Lainnya	OTHER	3	4	7	I
589658	1	5	22	manajemen	1	Subjek	A0	4	0	4	B
589659	1	5	23	perusahaan	1	Subjek	A0	0	4	4	I
589660	1	5	24	telah	6	Lainnya	OTHER	6	1	7	B
589661	1	5	25	membuka	5	Predikat	T	5	0	5	B
589662	1	5	26	diri	6	Lainnya	OTHER	2	2	4	I
589663	1	5	27	untuk	6	Lainnya	OTHER	2	4	6	I
589664	1	5	28	mewujudkan	6	Lainnya	OTHER	0	4	4	I
589665	1	5	29	kesepakatan	6	Lainnya	OTHER	1	2	3	I
589666	1	5	30	yang	6	Lainnya	OTHER	2	3	5	I
589667	1	5	31	lebih	6	Lainnya	OTHER	0	5	5	I
589668	1	5	32	baik	6	Lainnya	OTHER	0	5	5	I
589669	1	5	33	.	6	Lainnya	OTHER	2	5	7	I
589670	1	7	1	Itu	1	Subjek	A0	5	0	5	B
589671	1	7	2	yang	6	Lainnya	OTHER	3	2	5	B
589672	1	7	3	menjadi	6	Lainnya	OTHER	0	4	4	I
589673	1	7	4	dasar	1	Subjek	A0	1	3	4	I
589674	1	7	5	kami	1	Subjek	A0	3	4	7	I
589675	1	7	6	menghentikan	5	Predikat	T	8	0	8	B
589676	1	7	7	mogok	2	Objek	A1	6	0	6	B
589677	1	7	8	kerja	2	Objek	A1	0	6	6	I
589678	1	7	9	,	6	Lainnya	OTHER	7	1	8	B
589679	1	7	10	''	6	Lainnya	OTHER	0	8	8	I
589680	1	7	11	katanya	6	Lainnya	OTHER	0	8	8	I
589681	1	7	12	,	6	Lainnya	OTHER	0	8	8	I
589682	1	7	13	Selasa	4	Waktu	AM-TMP	5	0	5	B
589683	1	7	14	(	6	Lainnya	OTHER	5	3	8	B
589684	1	7	15	5/5/2015	4	Waktu	AM-TMP	5	0	5	B
589685	1	7	16	)	6	Lainnya	OTHER	5	3	8	B
589686	1	7	17	.	6	Lainnya	OTHER	0	8	8	I
589687	1	12	1	Terkait	6	Lainnya	OTHER	7	0	7	B
589688	1	12	2	penghentian	6	Lainnya	OTHER	1	5	6	I
589689	1	12	3	aksi	6	Lainnya	OTHER	1	6	7	I
589690	1	12	4	mogok	6	Lainnya	OTHER	0	7	7	I
589691	1	12	5	kerja	6	Lainnya	OTHER	0	7	7	I
589692	1	12	6	,	6	Lainnya	OTHER	1	7	8	I
589693	1	12	7	Hamid	1	Subjek	A0	6	0	6	B
589694	1	12	8	menyatakan	5	Predikat	T	5	0	5	B
589695	1	12	9	pihaknya	6	Lainnya	OTHER	1	2	3	I
589695	1	12	9	pihaknya	1	Subjek	A0	3	0	3	B
589696	1	12	10	telah	6	Lainnya	OTHER	3	3	6	I
589697	1	12	11	menerima	5	Predikat	T	5	0	5	B
589698	1	12	12	surat	2	Objek	A1	4	1	5	B
589699	1	12	13	pencabutan	2	Objek	A1	0	5	5	I
589700	1	12	14	aksi	2	Objek	A1	0	5	5	I
589701	1	12	15	yang	6	Lainnya	OTHER	4	2	6	B
589702	1	12	16	dikirimkan	5	Predikat	T	5	0	5	B
589703	1	12	17	oleh	6	Lainnya	OTHER	5	1	6	B
589704	1	12	18	serikat	2	Objek	A1	2	2	4	I
589705	1	12	19	pekerja	2	Objek	A1	0	5	5	I
589706	1	12	20	.	6	Lainnya	OTHER	6	2	8	B
589707	1	13	1	``	6	Lainnya	OTHER	7	0	7	B
589708	1	13	2	Surat	1	Subjek	A0	3	0	3	B
589708	1	13	2	Surat	6	Lainnya	OTHER	0	3	3	I
589709	1	13	3	pencabutan	5	Predikat	T	3	1	4	B
589710	1	13	4	aksi	6	Lainnya	OTHER	2	1	3	B
589711	1	13	5	mogok	2	Objek	A1	0	2	2	I
589711	1	13	5	mogok	6	Lainnya	OTHER	0	2	2	I
589711	1	13	5	mogok	1	Subjek	A0	0	2	2	I
589712	1	13	6	kerja	6	Lainnya	OTHER	1	2	3	I
589713	1	13	7	itu	6	Lainnya	OTHER	2	3	5	I
589714	1	13	8	tertanggal	5	Predikat	T	4	0	4	B
589715	1	13	9	3	4	Waktu	AM-TMP	4	1	5	B
589716	1	13	10	Mei	4	Waktu	AM-TMP	0	5	5	I
589717	1	13	11	2015	4	Waktu	AM-TMP	0	5	5	I
589718	1	13	12	.	6	Lainnya	OTHER	5	2	7	B
589719	1	13	13	''	6	Lainnya	OTHER	0	7	7	I
589720	1	13	14	.	6	Lainnya	OTHER	0	7	7	I
589721	10	0	1	Home	6	Lainnya	OTHER	6	0	6	B
589722	10	0	2	''	6	Lainnya	OTHER	0	6	6	I
589723	10	0	3	SmCetak	6	Lainnya	OTHER	0	6	6	I
589724	10	0	4	''	6	Lainnya	OTHER	0	6	6	I
589725	10	0	5	Karyawan	1	Subjek	A0	7	0	7	B
589726	10	0	6	PDAM	1	Subjek	A0	0	7	7	I
589727	10	0	7	Masih	6	Lainnya	OTHER	5	0	5	B
589728	10	0	8	Mogok	5	Predikat	T	5	1	6	B
589729	10	0	9	Kerja	5	Predikat	T	0	4	4	I
589730	10	0	10	.	6	Lainnya	OTHER	6	0	6	B
589731	10	1	1	Karyawan	1	Subjek	A0	6	0	6	B
589732	10	1	2	PDAM	1	Subjek	A0	0	6	6	I
589733	10	1	3	Masih	6	Lainnya	OTHER	5	0	5	B
589734	10	1	4	Mogok	5	Predikat	T	4	1	5	B
589735	10	1	5	Kerja	2	Objek	A1	2	2	4	I
589736	10	1	6	.	6	Lainnya	OTHER	7	0	7	B
589737	10	5	1	TEGAL	6	Lainnya	OTHER	5	0	5	B
589738	10	5	2	,	6	Lainnya	OTHER	2	5	7	I
589739	10	5	3	suaramerdeka.com	6	Lainnya	OTHER	0	7	7	I
589740	10	5	4	-	6	Lainnya	OTHER	0	7	7	I
589741	10	5	5	Aktifitas	1	Subjek	A0	4	0	4	B
589742	10	5	6	karyawan	1	Subjek	A0	0	4	4	I
589743	10	5	7	PDAM	1	Subjek	A0	0	4	4	I
589744	10	5	8	Kota	6	Lainnya	OTHER	0	3	3	I
589745	10	5	9	Tegal	6	Lainnya	OTHER	1	2	3	I
589746	10	5	10	belum	6	Lainnya	OTHER	3	3	6	I
589747	10	5	11	berjalan	5	Predikat	T	5	1	6	B
589748	10	5	12	normal	6	Lainnya	OTHER	4	1	5	B
589749	10	5	13	karena	6	Lainnya	OTHER	2	5	7	I
589750	10	5	14	para	6	Lainnya	OTHER	0	5	5	I
